English,Tunisian
It's so well-preserved. Is that a scroll and an inkwell next to him?,محافظ عليه مليح برشة. هذاكا مخطوط ومحبرة حدّاه؟
"Exactly. It symbolizes his work as a writer. Now, if you'll follow me, the 'Triumph of Neptune' awaits just around the corner.",Tunisian: بالضبط. ترمز للخدمة متاعو ككاتب. توّا، كان تتبّعني، 'Triumph of Neptune' يستنّانا ورا الزّاوية، قريب برشة.
"Hello, I need to arrange for a tensile strength test on a sample of rebar. We have a new supplier and need to verify the quality.",عسلامة، حاشتي نرتّب test متاع مقاومة الشدّ على عيّنة متاع حديد التسليح. عندنا مزوّد جديد و يلزمنا نتأكّدو من الجودة.
We can do that. Please bring in a sample piece that is at least one meter long. We will need the rebar diameter and the specified grade.,نجمو نعملو هكّا. بالله جيب معاك echantillon طولو على الأقل متر. باش نستحقّو ديامتر متاع حديد التسليح والgrade المطلوب.
Understood. I'll have someone from my team drop it off tomorrow morning.,مفهوم. نبعث حدّ من الفريق متاعي يسلّمها غدوة الصباح.
Look ahead. This winding road through the Dahar mountains is the only way to reach some of the most remote villages.,شوف لقدّام. الطريق هاذي المعرّجة اللي تعدّي من وسط جبال الظاهر هي الطريق الوحيدة باش نوصلو لبعض من أبعد القرى.
The landscape is astonishing. It feels like we are on another planet.,المنظر يهبّل. نحسّو رواحنا كأننا في كوكب آخر.
I'm looking over the roofing plans. This detailed wooden truss system is not very common here for concrete buildings. Finding skilled labor for it might be difficult and expensive.,قاعد نطالع في البلانات متاع السطح. السيستام متاع الشاربونت الخشبية المفصّلة هاذا ماهوش منتشر برشة هوني في بنايات من بيتون. باش نلقى يد عاملة متمكّنة فيه، ينجم يطلع صعيب ومكلّف.
I was aiming for a more traditional sloped roof appearance.,كنت ناوي على منظر سقف مائل يكون تقليدي أكثر.
We can still achieve that look. A more standard method here is to pour an inclined concrete slab and then cover it with traditional 'qarmoud' tiles. It's durable and cost-effective.,مازال نجمو نوصلو للمنظر هذاك. الطريقة اللي دارجة هوني أكثر هي إنّو نصبّو دالّة باطون ميلة وبعد نغطّيوها بقرمود تقليدي. الطريقة هاذي تطوّل وما تكلّفش برشة.
That palace up on the hill is magnificent. Who did it belong to?,ذاك القصر اللي فوق التلّة هايل برشة. كان متاع شكون؟
"That's Dar Ennejma Ezzahra, the home of Baron Rodolphe d'Erlanger. He was a European artist who championed the blue-and-white style and helped preserve the village's heritage.",هذيك دار النجمة الزهراء، دار البارون رودولف ديرلانجي. كان فنّان أوروبي شجّع على الستايل الأزرق والبيّض وعاون في الحفاظ على تراث القرية.
So we have him to thank for all this beauty?,يعني هو اللّي يلزمنا نشكروه على كلّ هالزّين؟
"In large part, yes. His legacy is everywhere you look.",Tunisian: في الغالب، إيه. أثره موجود وين ما تشوف.
Did you hear what Sarah's group is doing for their project?,سمعت شنوّة قاعدين يعملو جماعة سارة في الprojet متاعهم؟
"No, what?",لا، شنوة؟
"They're trying to build a mobile app to track public transport. It's way too ambitious, they'll never finish it on time.",Tunisian: هما قاعدين يحاولو يعملو appli mobile باش تتابع النقل العمومي. طموحة برشة على الآخر، مش باش يكمّلوها في وقتها.
Seriously? Good luck to them. At least our topic is manageable.,بالحق؟ بالتوفيق ليهم. على الأقلّ موضوعنا في المتناول.
Enjoy this small gift on the house.,هذي هديّة صغيرة على الدار، تهنّى بيها.
"Thank you, that's very kind of you. I really appreciate it.",يعطيك الصحّة، هذا لطف كبير منك. نقدّرها برشة.
"Which oil would you recommend for salads, and which one is better for cooking?",شنوّة الزيت اللي تنصح بيه للسلطة، وشنوّة اللي خير للطيّب؟
"You should use the extra virgin for salads, it has the full, fresh flavor. For cooking, you can use this other one, which is still very good but a bit more economical.",يلزمك تستعمل زيت زيتونة extra vierge للسلايط، فيها النكهة كاملة وفريش. للطيّب تنجم تستعمل هاذاكا الآخر، مازال باهي برشة أمّا أرخص شوية.
"Remember, my daughter, our family's name is the most valuable thing we have.",ما تنسايش يا بنتي، اسم عايلتنا هوّ أغلى حاجة عنا
"I know, Dad. I always try to act in a way that makes you proud.",Tunisian: نعرف يا بابا. ديما نحاول نتصرف بطريقة تخلّيك فخور بيا.
"Good. A good reputation is built over a lifetime, but it can be lost in a moment. Be wise in your choices.",باهي. السمعة الباهية تتبنّى على عمر كامل، أمّا تنجم تضيع في طرف عين. كون حكيم في اختياراتك.
"Excuse me, brother, when you have a moment.",تونسية: سامحني خويا، كي تفضى شوية.
"Yes, ma'am, how can I help you?",إي، مدام، كيفاش نجم نعاونك؟
"Hello, I'm considering storing my goods here. Can you tell me about your security measures?",عسلامة، قاعد نفكّر نخزّن سلعتي هوني. تنجم تقولي شنوّة إجراءات الأمن عندكم؟
"Of course. We have 24/7 security guards on-site and the entire facility is monitored by CCTV cameras, both inside and out.",بطبيعة. عندنا سيكيريتي 24/7 فالبلاصة، والمكان الكلّ مراقَب بكاميرات CCTV من لداخل ومن البرّا.
That's reassuring. Is access to the storage area restricted?,هذا يطمّن. الدخول للمنطقة متاع التخزين مقيّد؟
"Absolutely. Only authorized personnel are allowed in the storage zones, and all entries are logged.",أكيد. مسموح كان للأعوان المصرّحلهم يدخلوا لzones متاع التخزين، وكلّ عملية دخول تتسجّل.
Good evening. My partner and I would like to book a massage together. Is that possible?,مساء الخير. أنا وشريكي نحبّو نحجزو مساج مع بعضنا. فمّا إمكانية؟
"Yes, of course. We have a private suite for couples. Would you prefer a relaxing or deep tissue massage?",إي، بطبيعة. عندنا suite privée للكوبلات. تحب مساج relaxant ولا deep tissue؟
A relaxing massage would be great. Can we book it for tomorrow at 11 AM?,Tunisian: مساج ريلاكس يكون باهي برشة. نجّمو نحجّزو لغدوة عالحداش متاع الصباح؟
"Let me see... Yes, 11 AM is available. I've reserved the couple's relaxing massage for you.",خلّيني نشوف... أي، الساعة 11 متاع الصباح فاضية. حجزتلكم مساج ريلاكس للcouple.
"Come, my brother, eat with me. My wife made extra.",إيجي خويا، كُلّ معايا. مرّتي طبخت فوق القياس.
"May God bless her. Here, have some of these dates.",ربي يبارك فيها. هاك، خوذ شوية من هالتمر.
"I'm hoping to get into a university in Sousse. The city is lively, and living costs are lower than in Tunis.",نتمنا ندخل لجامعة في سوسة. المدينة فيها جوّ وحركة برشة، ومصاريف العيشة أرخص من تونس.
"But all the best preparatory schools and engineering faculties are in Tunis. Plus, there are more internship opportunities there.",أما أحسن المعاهد التحضيرية وكليّات الهندسة الكلّهم في تونس العاصمة. وزيد، فما ستاجات أكثر غادي.
"That's true, but I can't handle the traffic and the crowds in Tunis. I think Sfax is a good middle ground, especially for medicine.",صحيح، أمّا ما نتحمّلش الترافيك والزحمة في تونس. نخمّم صفاقس حلّ وسط باهي، بالخصوص في الطبّ.
"Before we begin next week, I want to prepare you for some potential side effects. The most common ones are fatigue and some nausea.",قبل ما نبدّاو السيمانة الجاية، نحب نحضّرك لبعض الأعراض الجانبيّة المحتملة. أكثرهم اللي تصير برشة هما التعب وشويّة غثيان.
"And what about hair loss, doctor?",و بالنسبة لتساقط الشعر يا دكتور؟
"Yes, with this particular medication, hair loss is very likely. We have excellent medicine to manage the nausea, and it's crucial that you listen to your body and get plenty of rest.",إي، مع الدوا هذا بالذات فمّة احتمال كبير شعرك يطيح. عندنا دوا باهي برشة باش نتحكّمو في اللوعة، ومهم برشة تسمع لبدنك وترتاح قدّ ما تنجم.
Our social media is a bit quiet. We need to boost our engagement. Any thoughts?,Tunisian: السوشيال ميديا متاعنا راكدة شوية. يلزمنا نقوّيو التفاعل. عندك أفكار؟
"We should run a weekly contest or a Q&A session. Also, creating short, behind-the-scenes videos could make our brand more relatable.",يلزمنا نعملو كونكور كل سيمانة ولا سيانس متاع Q&A. وزادة، كان نصوّرو فيديوهات قصار من وراء الكواليس، هذا ينجم يقرّب البراند متاعنا للناس أكثر.
Videos are a great idea. A user-generated photo contest could also work. Let's try the weekly Q&A first.,الفيديوات فكّرة باهية برشة. مسابقة تصاور معمولة من الusers زادة تنجم تمشي. خلّينا نجرّبو الQ&A الأسبوعي لول.
"Hey, did you see the event on Facebook for the protest this Saturday?",ياخي شفت الإيفنت على Facebook متاع المانيف نهار السّبت هذا؟
"Yes, the one downtown against the new finance law. Are you thinking of going?",إي، اللي في centre-ville ضدّ قانون الماليّة الجديد. تفكّر تمشي؟
Definitely. We have to make our voices heard. Are you in?,أكيد. لازم صوتنا يتسمّع. انتي معانا؟
Of course. Let's meet at the clock tower around 10 AM.,بطبيعة. خلينا نتلاقاو قدّام برج الساعة حوالي العشرة متاع الصباح
"Hello, I'd like to book the 'Marine Vitality' spa package. Is there an opening for tomorrow afternoon?",عسلامة، نحب نرزرڤي باك متاع spa 'Marine Vitality'. فمّا موعد فارغ غدوة العشية؟
"Let me check the schedule for you. Yes, we have a slot available at 3 PM. Would that suit you?",خلّيني نشوف ليك الplanning. إي، عنا بلاصة على 3 متاع العشية. يناسبك؟
"3 PM is perfect. Please book it for me under my room number, 412.",Tunisian: الثلاثة متاع العشية وقتها باهي برشة. باللطف احجزهولي على نمرة الغرفة متاعي، 412.
Excellent. I have you confirmed for the 'Marine Vitality' package tomorrow at 3 PM. You are all set.,"ممتاز. أكدّتلك الحجز على الباكيج ""Marine Vitality"" غدوة مع الثلاثة متاع العشية. كل شي جاهز."
"Excuse me, Madam Treasurer. I'm looking at the financial report, and the section on 'transport costs' seems unusually high this year. Can you explain this figure?",سامحني، مدام أمينة المال. أنا قاعد نشوف في التقرير المالي، والقسم متاع 'مصاريف النقل' باين عالي برشة العام هذا. تنجم تفسّرلي هالرّقم؟
"Those are the standard costs for moving the harvest. Fuel prices went up, as you know.",هاذوما المصاريف العادية متاع نقل الصابة. سوام البنزين والمازوط طلعوا، كيما تعرف.
"I understand that, but a forty percent increase? We need a more detailed breakdown to understand where our money is going.",نفهم هذا، أمّا زيادة بأربعين في المية؟ يلزمنا تفصيل أدقّ باش نفهمو فلوسنا وين ماشية.
"I have reviewed your results. While most things are normal, one of the markers we tested is outside the usual range.",أنا طلّعت على تحاليلك. أغلب الحاجات طبيعيّة، أمّا واحد من المؤشّرات اللي حلّلناهم برا على الرنج الطبيعي.
An abnormal marker? What does that mean?,ماركر موش نورمال؟ شنيا معناها؟
"It doesn't automatically mean there is a serious problem, but it does mean we need to investigate further to be sure.",Tunisian: ما يعنيش وحدو إلّي فمّا مشكل خطير، أمّا يعني إلّي يلزمنا نزيدو نفتّشو أكثر باش نتأكّدو.
I understand. So what is the next step we need to take?,Tunisian: فهمت. شنوة الخطوة الجاية اللي يلزمنا نعملوها؟
The doctor has requested a urine analysis. Here is the sample cup.,الدكتور طلب تحليل بول. هاو الكاس متاع العيّنة.
"Okay. Where is the bathroom, and do I need to fill it completely?",أوكي. وينو الحمّام؟ ولازمني نعبّيه للآخر؟
"The bathroom is down the hall to the left. A mid-stream sample is enough, about halfway full is fine. Bring it to the lab window when you're done.",الطواليت في آخر الكوريدور على اليسار. عيّنة من الوسط تكفي، عمّرها قرابة نصّها كافي. كي تكمّل، جيبها لشباك اللابو.
"Hello, Ali. How is the research for your final paper coming along?",عسلامة يا علي. كيفاش ماشي البحث متاع الfinal paper متاعك؟
"Hello, ma'am. It's going well. I've found three good sources, but I'm still trying to form my main argument.",عسلامة مدام. الأمور ماشية لباس. لقيت ثلاثة مصادر باهين، أمّا مازلت نحاول نركّب الحجّة الرئيسية متاعي.
That's the hardest part. Remember the outline we discussed in class. Try to map your sources to your main points. Let me know if you get stuck.,هذيك أصعب حاجة. تفكّر البلان اللي حكينا عليه في الكلاس. حاول تربط المصادر متاعك بالنّقاط الرئيسية متاعك. قُلّي كان تتعطّل.
I will. Thanks for checking in.,حاضر. يعطيك الصحّة اللي تطمّنت عليّ.
"Hello, I'm in room 305. Could you please send an extra pillow to my room?",عسلامة، أنا في شمبرة 305. بالله تنجم تبعثلي مخدّة زايدة للشمبرة متاعي؟
"Certainly, sir. We will have housekeeping bring one up to you right away.",بطبيعة، سيدي. توّا نبعثو حدّ من خدمة الغرف يطلّعولك واحد.
Emergency! This is Bus 78 near the Bardo Museum. I have a passenger who has lost consciousness.,نجدة! معاك bus 78 حدّ متحف باردو. عندي راكب غاب عليه الوعي.
"Received, Bus 78. I am dispatching an ambulance to your location immediately. Do not move the bus.",وصل، Bus 78. باش نبعث أمبولانس تاو تاو للبلاصتك. ما تحرّكش الbus.
Good morning. I would like to inquire about the best possible rate for a block of 100 rooms for our Tunisian pilgrimage group.,صباح الخير. نحب نستفسر على أحسن سوم ممكن تنجمو توفّروه لبلوك متاع 100 بيت لمجموعة الحجّ التونسيّة متاعنا.
"Welcome. For a booking of that size during the requested period, our standard rate is 450 riyals per room, per night.",مرحبا. بالنسبة لحجز بالحجم هذا في الفترة اللي طلبتوها، السوم العادي متاعنا هو 450 ريال للغرفة في الليلة.
"Thank you. Given the volume of 100 rooms for 10 nights, we were hoping for a more competitive rate. Is there any flexibility?",يعطيك الصحّة. بالكمّية متاع 100 غرفة على 10 ليالي، كنّا نأمّلو في سوم أكثر تنافسي. فمّا شوية مرونة في السوم؟
"I understand. For a guaranteed block of 100 rooms, I can offer a special rate of 420 riyals. This is our best offer for large groups.",فهمت. على بلوك مضمون متاع 100 غرفة، نجم نقدّم لك سوم خاص بـ420 ريال. هذا أحسن عرض عنا للمجموعات الكبيرة.
Have you completed the visual inspection of the evaporation pond liner?,كمّلت المعاينة البصرية لبطّانة حوض التبخير؟
"Yes, I walked the entire perimeter this morning. I didn't see any tears, cracks, or sun damage. It appears to be in good condition.",إي، لفّيت على المحيط الكلّ الصباح. ما شفت حتى تمزّقات لا تشقّقات لا تلف من الشمس. يبان عليه في حالة باهية.
Excellent. Please log that in the daily inspection report with today's date.,هايل. بالله قيّدها في rapport متاع التفقد اليومي بتاريخ اليوم.
"Ma'am, can you tell me where it hurts the most?",مدام، تنجم تقولّي وين يوجعك أكثر حاجة؟
"My head is spinning, and I have a sharp pain in my left leg. I can't move it at all.",Tunisian: راسي يدور، وعندي وجيعة قارصة في رجلي اليسار. ما نجمش نحرّكها بالكلّ.
"Okay, please try to stay still. We're almost there. Do you feel pain anywhere else?",أوكي، بالله حاول تبقى ساكن وما تتحرّكش. قرّبنا نكمّلو. تحسّ بوجيعة في بلاصة أخرى؟
"Yes, my chest feels very tight, and I'm finding it hard to breathe.",إي، نحسّ صدري مزير برشة، وصعيب عليّا نتنفّس.
I've missed my entire irrigation slot because of this. Will the schedule be changed to give me my water share?,فاتتني نوبة السقي الكلّ على خاطر هذا. باش يتبدّل البرنامج باش ناخو نصيبي من الما؟
"Yes, of course. Once the flow is restored, we will notify everyone of the revised schedule to make up for the lost time.",إي، بطبيعة. أوّل ما يرجع الضخّ، باش نعلّمو الناس الكلّ بالplanning المعدّل باش نعوّضو الوقت اللي ضاع.
"Excuse me, I need to officially register some new lambs and a calf. What is the process?",سمحني، حاشتي نسجّل رسمي شوية خرفان صغار جداد و عجل صغير. شنية الإجراءات؟
"You'll need to fill out the registration application and have the veterinarian come to tag them. Once tagged, you bring the vet's report back here.",يلزمك تعمّر مطلب التسجيل وتعيّط للبيطار يجي يركّبلهم البوكلات. من بعد ما يتحطّولهم البوكلات، تجيب الrapport متاع البيطار لهنا.
Good morning. I need something for motion sickness. I have a long bus trip tomorrow.,صباح الخير. حاشتي بدوا للدوخة متاع الطريق. عندي سفرة طويلة بـbus غدوة.
"Good morning. We have tablets or patches. The tablets can make you a little drowsy, is that okay?",صباح الخير. عندنا قراص ولا لاصقات. القراص ينجّمو ينعّسوك شويّة، ما عندكش مشكل؟
"Drowsiness is fine, I'd rather sleep on the bus anyway. I'll take the tablets.",النّعاس ما يقلّقنيش، أنا أصلا نفضّل نرقد في الكار. ناخو القراص.
Let's begin the move-in inspection. We will check each room and note down the condition of everything on this form.,خلينا نبدّاو l'état des lieux متاع الدخول. باش نتفقّدو كلّ بيت ونقيّدو حالة كلّ شي في الفورم هذا.
Sounds good. I notice a small chip in the paint on the wall here. Should we document that?,باهي. نلاحظ تقشيرة صغيرة في الصباغة على الحيط هوني. نوثّقوها؟
"Yes, of course. It's very important to note every detail to protect your security deposit.",ايه، بطبيعة. مهم برشة تقيّد كلّ تفصيل باش تضمن الcaution متاعك.
"Did you see the professor's email? He wants Times New Roman, size 12, double-spaced, with APA citations.",شفت الإيميل متاع البروفيسور؟ يحب Times New Roman، taille 12، double espace، ومراجع على طريقة APA.
"Yes, and he's very strict about the page margins. We have to be careful, or he'll take points off for sure.",إي، وهو مشدّد برشة على marges متاع الصفحة. لازمنا نردّو بالنا، وإلا باش ينحيلنا نقاط أكيد.
"Okay, I'll format the whole document before we submit it, just to be safe.",أوكي، أنا باش ننسّق document الكلّ قبل ما نقدّموه، من باب الاحتياط.
"Excuse me, sir. Could you please turn down the volume a bit?",Tunisian: اسمحلي يا سيدي، تنجم توطّي الصوت شوية؟
"Of course, no problem.",Tunisian: بطبيعة، ما فمّاش مشكل.
"Hello, I need to report a serious problem. There is a huge leak in the main pipe next to my field. Water is flooding everywhere.",عسلامة، حاشتي نبلّغ على مشكل خطير. فمّا تسرّب كبير برشة في الماسورة الرئيسيّة اللّي حدّ أرضي. الما غارق الدنيا الكل.
Thank you for calling. Can you give me the exact location? Is it near a specific landmark?,يعطيك الصحّة على المكالمة. تنجم تعطيني البلاصة بالضبط؟ قريب لrepere معيّن؟
"Yes, it's about two hundred meters past the big olive tree on the main road. A lot of water is being wasted.",إي، حوالي ميتين متر بعد الزيتونة الكبيرة عالطريق الرّئيسية. الما قاعد يضيع برشة.
Understood. I'm dispatching an emergency repair team right now. They should be there within the hour.,Tunisian: واضح. توّا نبعث équipe متاع صيانة عاجلة. يلزمهم يكونو غادي في ظرف ساعة.
"I need your advice. I want to buy a new phone, but I'm not sure which one. What do you recommend?",حاشتي بنصيحتك. نحب نشري تلفون جديد، أمّا مانيش متأكّد شنوة نختار. شنوة تنصحني بيه؟
"Honestly, go for the one with the better battery. You won't regret it. The other one's camera is good, but the battery dies in a few hours.",بصراحة، امشي مع اللّي بطّاريتو تشدّ أكثر. ماكش باش تندم. الثانيّة كاميرتها بهيّة، أمّا البطّاريّة تفرغ بعد ساعات.
That will be 10 dinars for the delivery. You can pay here.,Tunisian: حقّ الدليفري 10 دينارات. تنجم تخلّص هنا.
"Okay, here you are.",أوكي، تفضّل هاك.
"This is our satellite phone, for extreme emergencies only. You lift the antenna, wait for the light to turn green, and press this button to call for help.",هذا تلفون ساتلايت متاعنا، نستعملوه كان في الحالات القصوى. ترفع الانتان، تستنّى الضو يولي أخضر، وتكبس عالبوتون هذا باش تطلب المعونة.
I see. Let's hope we don't need to use it.,فهمت. إن شاء الله ما نضطرّوش نستعملوه.
"God willing, we will not. It is just a precaution.",إن شاء الله لا. راهو كان احتياط برك.
"Thank you for the appointment. Just to be sure, what are the accepted payment methods?",يعطيك الصحة على الـ rendez-vous. كان باش نتأكّد برك، شنيا طرق الخلاص اللي تقبلوها؟
"You can pay with cash, by check, or with any bank card.",تنجم تخلّص بالكاش، بالشيك، ولا بأي كارطة بنكية.
"Sir, have you considered a solar water heater? You can cut your gas bill in half, especially in the winter. It's a smart investment.",سيدي، عمرك فكّرت في سخّان ما شمسي؟ تنجم تقصّ الفاتورة متاع الڨاز للنصّ، بالخصوص في الشتا. راهو استثمار ذكي.
I've heard they are expensive. How long does it take to pay for itself?,Tunisian: سمعت اللي هما غالين برشة. قدّاش يلزمهم وقت باش يردّو فلوسهم؟
"With the current government subsidy and the money you save on bills, it pays for itself in about three to four years. After that, it's free hot water from the sun!",بالدعم الحالي متاع الدولة وبالفلوس اللي توفّرهم في الفواتير، تخلّص روحها في قرابة 3 لـ4 سنين. وبعدها الما السخون يجيك من الشمش ببلاش!
"To be clear, for me, the most critical success factor is performance. The system must be fast and responsive, even under heavy load.",باش نكون واضح، بالنسبة ليا، أهم عامل نجاح هو الperformance. السيستام لازم يكون سريع ويردّ بسرعة، حتّى تحت load كبير.
That's noted as the top priority. We will focus our efforts on optimization to ensure that.,هذا متسجّل كأولوية قصوى. باش نركّزو مجهوداتنا على optimisation باش نضمنو هالشي.
Perfect. The second key point is security. I expect the highest standards to be implemented.,هايل. النقطة الثانية المهمّة هي الأمن. نستنى يتطبّقو أعلى المعايير.
Of course. Security is a non-negotiable part of our development process.,بطبيعة. الأمن جزء ماهوش قابل للنقاش في عملية التطوير متاعنا.
Have you figured out question three in the physics homework? I'm completely lost.,حلّيت السؤال الثالث في الdevoir متاع الفيزيك؟ أنا ضايع على الآخر.
"Okay, let's try. Two heads are better than one.",أوكي، خلّينا نجربو. زوز روس خير من راس وحدو.
"Good idea. You read the question out loud, and I'll check the textbook for a similar example.",فكّرة باهية. إنتي إقرا السؤال بصوت عالي، وأنا نقلّب في الmanuel على مثال كيفو.
Management wants to boost the average grade sent to the plant. Can we adjust the mine plan to be more selective?,الإدارة تحب ترفّع في المعدّل متاع العيار اللي ماشي للمعمل. نجّمو نعدّلو البلان متاع المنجم باش يكون أكثر انتقائي؟
"We can. The main phosphate bed has a very high-grade basal layer. It's only about a meter thick, but if you can separate it from the lower-grade upper layers, the overall quality will improve significantly.",نجمو. الطبقة الرئيسية متاع الفسفاط فيها طبقة من اللّوطة عيارها عالي برشة. سمكها قرابة متر برك، أمّا كان تنجم تعزلها على الطبقات اللي فوق واللي عيارها أضعف، الجودة العامّة باش تتحسّن برشة.
"That will require more careful excavation, increasing our costs. We need to run a cost-benefit analysis, but it's a good option to have.",ذاكا باش يستوجب حفر بدقّة أكثر ويزيدلنا في المصاريف. يلزمنا نعملو analyse coût-bénéfice، أمّا تبقى option باهية باش تكون عندنا.
"What exactly do you look at when determining the price? I know the location and condition are important, but what about the legal papers, like having a clear title deed?",شنوّة بالضّبط تشوف وقت تحدّد السّوم؟ نعرف البلاصة والحالة مهمّين، أمّا شنوّة على الوراق القانونيّة، كيما شهادة الملكيّة تكون صافية؟
"You are right. We consider the location, size, and condition of the property. But the most critical factor is the legal status; a clear title deed significantly increases the value.",عندك الحق. نحسبو حساب للموقع، للمساحة، ولحالة العقار. أمّا أهمّ عامل هو الوضعية القانونية؛ titre foncier صافي وواضح يطلّع القيمة برشة.
Can we go inside the Great Mosque? What are the rules for visitors?,تونسية: نجمو ندخلو للجامع الكبير؟ شنّية القوانين متاع الزوّار؟
"Of course. Non-Muslims are welcome to visit the main courtyard. Just remember to dress modestly, so shoulders and knees should be covered. I have some shawls if you need one.",بطبيعة. اللي ماهمش مسلمين مرحّب بيهم يزورو الصحن الرئيسي. تذكّر برك تلبس لبسة محتشمة، يعني الكتاف والركب يلزمهم يكونو مغطّيين. عندي شوية فولارات كان يلزمك واحد.
"Thank you, that's helpful. And what are the visiting hours?",يعطيك الصحّة، هذا يعاون برشة. و شنية أوقات الزيارة؟
"It's open for visitors in the morning until around midday, but it closes during prayer times to respect the worshippers.",مفتوح للزوّار في الصباح حتّى لقرّابة نصّ النهار، أمّا يسكّر في أوقات الصلا باش يحترمو المصلّين.
"Hello, I'm trying to go online but the app says my account is suspended. Can you tell me why?",عسلامة، قاعد نحاول ندخل للنت أما الapp تقول اللي الحساب متاعي معلّق. تنجم تقولّي علاش؟
Let me check for you. Can you confirm your name and phone number?,خلّيني نثبّتلك. تنجم تأكّدلي اسمك ونمرو تليفونك؟
"My name is Hassen, and the number is 55-123-456.",اسمي حسّان، والنمرو هو 55-123-456.
"Thank you, Hassen. It seems your account was suspended because your vehicle inspection document on file has expired. You will need to upload a new one to be reactivated.",يعطيك الصحّة يا حسّان. يظهر اللي حسابك اتعلّق خاطر وثيقة الڨيزيت تيكنيك متاع الكرهبة اللي عنا في الدّوسي صلاحيّتها كمّلت. يلزمك ترفّع وثيقة جديدة باش يتعاود يتفعّل.
Good morning. I'm calling to schedule the annual maintenance for the building's main water pump. When are you free next week?,صباح الخير. نكلّمك باش نبرمج الصيانة السنويّة للموتوبومبة الرئيسيّة متاع الميّة متاع العمارة. وقتاش تنجم تفضى الأسبوع الجاي؟
"Good morning to you. Next week is fine. How about Tuesday morning, around 10 AM?",صباح الخير عليك. الأسبوع الجاي باهي. شنيا رايك نهار الثلاث، حوالي العشرة متاع الصباح؟
Tuesday at 10 AM works perfectly for me. See you then.,نهار الثلاث على العشرة متاع الصباح مناسبني على الآخر. نشوفك وقتها.
"Frankly, Engineer, is it more expensive to go organic? How do the costs compare?",بالصّراحة يا سي المهندس، نمشيو للـbio يطلع أغلى؟ كيفاش تتقارن المصاريف؟
"Initially, buying certified organic bags can be more costly than chemical ones. But if you make your own compost, your cost becomes almost zero. Over the years, you save money because healthy soil needs fewer inputs.",في اللّول، تشري الأسمدة bio المصدّقة ينجم يكون أغلى من الكيميائيّة. أمّا كان تعمل compost متاعك وحدك، التكلفة متاعك تولّي قرّيبة للصفر. ومع السنين، توفّر فلوس خاطر التربة الصحّية تحتاج إضافات أقلّ.
"Alright, you've calculated the duties I need to pay. Where do I go to make the payment?",Tunisian: باهي، حسبتلي المعاليم الديوانية اللي لازمني نخلّصهم. وين نمشي باش نخلّصهم؟
"The customs cashier's office is just over there, to your left. Take this slip with you and they will process the payment.",شباك الخلاص متاع الديوانة غادي، على يسارك. إهزّ معاك هالورقة وهمّا يقبضو الخلاص.
I just wanted to confirm before I sign. Am I permitted to install a small satellite dish on the balcony?,أنا حبيت كان نتأكّد قبل ما نوقّع. مسموح لي نركّب بارابول صغير في البالكون؟
"Yes, that is generally allowed, as long as the installation is done professionally and doesn't cause any damage to the building's facade. Please just inform us before the installation date.",إي، في العادة هذا مسموح، كان التركيب يتعمل على أصولو وما يضرّش الواجهة متاع البناية. علّمونا برك قبل نهار التركيب.
"Thank you for your time. I need to flag a critical issue. Our main hardware supplier for Project Titan is facing major delays, which puts our entire launch timeline at risk.",يعطيك الصحّة على وقتك. حاشتي ننبّه على مشكل خطير. المزوّد الرئيسي بالهاردوير متاع Project Titan قاعد يواجه تأخيرات كبار برشة، والشي هذا يعرّض كامل رزنامة الإطلاق متاعنا للخطر.
I understand the seriousness. What do you recommend we do?,راني فاهم قدّاش الوضع خطير. شنوة تنصحنا نعملو؟
"I've identified an alternative local supplier, but their costs are 15% higher. We need an executive decision to approve the budget increase or accept the six-month delay.",Tunisian: لقيت مزوّد محلّي بديل، أمّا مصاريفهم أغلى بـ15%. يلزمنا قرار من الmanagement للموافقة على الزيادة في الbudget ولا نقبلو التأخير متاع ستّة شهور.
A delay is unacceptable. Prepare the paperwork for the budget increase. I will approve it.,أي تأخير مش مقبول. حضّرلي الدوسي متاع الزيادة في الميزانية. أنا باش نوافق عليها.
"Hello, good morning.",عسلامة، صباح الخير.
Hello. How may I help you today?,عسلامة. كيفاش نجم نعاونك اليوم؟
"Doctor, I get this terrible burning sensation in my chest, especially at night when I lie down. Sometimes I even taste acid in the back of my throat.",دكتور، يجيني حرقان فظيع في صدري، خاصّة بالليل كي نتمدّد. مرّات حتى نذوق الحموضة في آخر حلقي.
That sounds like classic acid reflux. We need to manage it to prevent it from causing more irritation.,يظهرلي هذا ريفلو أسيد كلاسيك. لازمنا نسيطرو عليه باش ما يزيدش يعمل تهيّج أكثر.
What should I do?,شنوّة يلزمني نعمل؟
"We'll start with medication and some lifestyle changes, like avoiding late meals and elevating the head of your bed.",باش نبداو بالدواء وبشويّة تغييرات في طريقة عيشتك، كيما تبعد على العشا المتأخّر وتعلي راس الفراش.
"I'm looking at our inventory, and our stock of critical spare parts is getting very low.",راني قاعد نشوف في الجرد متاعنا، والستوك متاع قطع الغيار الضرورية ولّى ناقص برشة.
"I know. I submitted the request two months ago. The procurement process is just very slow, you know how it is with customs clearance.",نعرف. قدّمت الطلب من زوز شهور. البروسيدور متاع الشراءات راهي بطيّة برشة، تعرف الحكاية مع الديوانة.
